age,monthly_income,monthly_expenses,monthly_surplus,savings,existing_investments,monthly_emi,investment_horizon,investment_experience,reaction_to_market_loss,investment_frequency,liquidity_preference,investment_goal,risk_questionnaire_score,risk_profile
61,50000.0,41500.0,0.0,982000,405000.0,14300,17,3,1,MONTHLY,MEDIUM,WEALTH_CREATION,70.0,HIGH
45,109000.0,59500.0,15800.0,1865000,145000.0,33700,5,1,2,MONTHLY,MEDIUM,TAX_SAVING,47.0,HIGH
34,113000.0,67200.0,8400.0,939000,422000.0,37400,1,4,4,MONTHLY,LOW,SHORT_TERM_GOAL,94.0,MEDIUM
34,84000.0,43300.0,31300.0,976000,357000.0,9400,14,2,1,MONTHLY,HIGH,RETIREMENT,63.0,HIGH
21,80000.0,65500.0,0.0,67000,20000.0,32600,2,3,4,QUARTERLY,MEDIUM,RETIREMENT,77.0,MEDIUM
54,177000.0,40100.0,96900.0,1675000,58000.0,40000,9,1,3,RARELY,LOW,RETIREMENT,37.0,LOW
55,143000.0,83300.0,34100.0,918000,18000.0,25600,12,1,1,MONTHLY,MEDIUM,RETIREMENT,37.0,MEDIUM
55,75000.0,60100.0,0.0,1254000,250000.0,34600,2,2,2,RARELY,LOW,WEALTH_CREATION,48.0,MEDIUM
38,49000.0,43000.0,0.0,672000,409000.0,10600,14,1,3,LUMP_SUM,HIGH,TAX_SAVING,54.0,HIGH
34,66000.0,48400.0,14300.0,320000,16000.0,3300,4,1,5,MONTHLY,MEDIUM,TAX_SAVING,63.0,HIGH
54,52000.0,28700.0,17900.0,2118000,25000.0,5400,9,2,1,MONTHLY,LOW,WEALTH_CREATION,54.0,HIGH
55,108000.0,85000.0,21300.0,442000,115000.0,1700,3,3,2,QUARTERLY,HIGH,EMERGENCY_FUND,65.0,LOW
38,34000.0,31200.0,500.0,167000,113000.0,2300,9,2,1,MONTHLY,HIGH,SHORT_TERM_GOAL,64.0,MEDIUM
64,50000.0,32800.0,0.0,318000,138000.0,19200,1,3,2,RARELY,HIGH,SHORT_TERM_GOAL,52.0,LOW
65,102000.0,70600.0,13300.0,629000,410000.0,18100,6,5,3,RARELY,LOW,SHORT_TERM_GOAL,78.0,HIGH
37,33000.0,30300.0,0.0,527000,327000.0,9100,20,4,3,LUMP_SUM,LOW,SHORT_TERM_GOAL,72.0,HIGH
41,58000.0,42700.0,7100.0,1108000,265000.0,8200,14,1,1,QUARTERLY,MEDIUM,WEALTH_CREATION,49.0,HIGH
64,26000.0,9800.0,10200.0,404000,67000.0,6000,16,4,4,MONTHLY,HIGH,TAX_SAVING,71.0,HIGH
28,53000.0,20300.0,24600.0,728000,242000.0,8100,14,2,3,MONTHLY,LOW,WEALTH_CREATION,51.0,HIGH
55,58000.0,44000.0,7000.0,180000,19000.0,7000,8,5,2,MONTHLY,HIGH,EMERGENCY_FUND,62.0,LOW
59,137000.0,81300.0,39700.0,3690000,1240000.0,16000,5,2,2,RARELY,MEDIUM,SHORT_TERM_GOAL,60.0,HIGH
51,126000.0,96200.0,0.0,2579000,1390000.0,49500,13,1,4,RARELY,LOW,WEALTH_CREATION,57.0,HIGH
45,46000.0,38500.0,0.0,916000,199000.0,9200,5,4,4,MONTHLY,HIGH,TAX_SAVING,89.0,HIGH
48,34000.0,13500.0,15100.0,269000,111000.0,5400,4,2,4,QUARTERLY,MEDIUM,WEALTH_CREATION,64.0,HIGH
52,20000.0,8800.0,200.0,84000,17000.0,11000,8,3,1,MONTHLY,MEDIUM,WEALTH_CREATION,77.0,LOW
54,71000.0,37700.0,16100.0,555000,86000.0,17200,14,2,5,RARELY,MEDIUM,RETIREMENT,66.0,HIGH
29,78000.0,65900.0,0.0,1088000,48000.0,14600,6,1,3,MONTHLY,LOW,TAX_SAVING,79.0,HIGH
28,72000.0,66200.0,0.0,1490000,328000.0,13500,4,1,2,QUARTERLY,LOW,RETIREMENT,53.0,HIGH
23,27000.0,15300.0,5700.0,471000,88000.0,6000,15,1,1,MONTHLY,HIGH,TAX_SAVING,28.0,HIGH
65,48000.0,33600.0,8200.0,1898000,136000.0,6200,1,3,4,QUARTERLY,HIGH,WEALTH_CREATION,62.0,HIGH
38,32000.0,15800.0,14000.0,431000,152000.0,2200,22,2,3,RARELY,MEDIUM,RETIREMENT,49.0,HIGH
44,83000.0,55800.0,8400.0,703000,154000.0,18800,12,1,1,MONTHLY,LOW,EMERGENCY_FUND,69.0,HIGH
62,123000.0,71300.0,37400.0,3870000,658000.0,14300,8,4,2,MONTHLY,MEDIUM,SHORT_TERM_GOAL,66.0,HIGH
55,64000.0,40000.0,11000.0,630000,140000.0,13000,6,5,4,LUMP_SUM,LOW,SHORT_TERM_GOAL,100.0,HIGH
42,58000.0,21600.0,22100.0,859000,332000.0,14300,5,3,4,RARELY,LOW,WEALTH_CREATION,82.0,HIGH
35,99000.0,35100.0,60300.0,929000,50000.0,3600,2,2,3,LUMP_SUM,LOW,WEALTH_CREATION,78.0,HIGH
36,65000.0,41900.0,15800.0,463000,27000.0,7300,25,4,1,MONTHLY,MEDIUM,WEALTH_CREATION,82.0,HIGH
63,59000.0,34600.0,2200.0,2931000,572000.0,22200,4,3,4,LUMP_SUM,LOW,WEALTH_CREATION,83.0,HIGH
49,33000.0,28300.0,0.0,536000,20000.0,6400,5,4,4,MONTHLY,LOW,EMERGENCY_FUND,100.0,HIGH
64,104000.0,89100.0,0.0,2010000,115000.0,19400,20,1,3,MONTHLY,HIGH,WEALTH_CREATION,39.0,HIGH
65,136000.0,83700.0,28700.0,1239000,81000.0,23600,6,2,1,MONTHLY,HIGH,RETIREMENT,40.0,MEDIUM
59,93000.0,39400.0,17900.0,606000,341000.0,35700,23,2,4,MONTHLY,HIGH,WEALTH_CREATION,57.0,HIGH
58,54000.0,46900.0,0.0,930000,492000.0,11800,17,2,3,RARELY,LOW,RETIREMENT,68.0,HIGH
52,94000.0,71500.0,15900.0,1965000,626000.0,6600,14,1,3,RARELY,MEDIUM,SHORT_TERM_GOAL,31.0,HIGH
47,50000.0,27900.0,12200.0,173000,81000.0,9900,5,1,2,LUMP_SUM,HIGH,SHORT_TERM_GOAL,42.0,LOW
59,54000.0,11100.0,31600.0,246000,28000.0,11300,9,3,3,LUMP_SUM,MEDIUM,TAX_SAVING,63.0,HIGH
22,23000.0,13000.0,9800.0,76000,3000.0,200,5,2,4,LUMP_SUM,MEDIUM,WEALTH_CREATION,77.0,HIGH
60,60000.0,39000.0,1500.0,636000,233000.0,19500,3,5,1,MONTHLY,HIGH,EMERGENCY_FUND,70.0,LOW
28,40000.0,22600.0,0.0,2605000,630000.0,22000,2,1,2,RARELY,MEDIUM,EMERGENCY_FUND,31.0,HIGH
27,36000.0,21100.0,5800.0,319000,84000.0,9100,5,3,4,RARELY,LOW,WEALTH_CREATION,82.0,HIGH
62,82000.0,34900.0,25900.0,578000,102000.0,21200,14,2,2,MONTHLY,MEDIUM,WEALTH_CREATION,56.0,HIGH
62,82000.0,58700.0,11900.0,967000,353000.0,11400,1,1,5,MONTHLY,HIGH,RETIREMENT,69.0,HIGH
49,77000.0,58300.0,0.0,1067000,411000.0,42300,21,2,1,MONTHLY,MEDIUM,SHORT_TERM_GOAL,49.0,MEDIUM
63,51000.0,42600.0,2800.0,1747000,579000.0,5600,6,2,1,MONTHLY,HIGH,RETIREMENT,46.0,HIGH
25,26000.0,10900.0,7600.0,367000,27000.0,7500,18,3,1,MONTHLY,HIGH,SHORT_TERM_GOAL,53.0,MEDIUM
49,47000.0,21000.0,11800.0,1070000,342000.0,14200,17,1,3,MONTHLY,HIGH,EMERGENCY_FUND,47.0,HIGH
26,93000.0,64600.0,6400.0,952000,63000.0,22000,6,1,5,RARELY,MEDIUM,EMERGENCY_FUND,60.0,MEDIUM
51,82000.0,59000.0,0.0,1532000,536000.0,30500,1,2,4,MONTHLY,LOW,SHORT_TERM_GOAL,80.0,HIGH
53,85000.0,52500.0,14700.0,1139000,898000.0,17800,1,2,2,LUMP_SUM,MEDIUM,WEALTH_CREATION,56.0,HIGH
27,174000.0,148500.0,1700.0,1144000,239000.0,23800,1,3,3,MONTHLY,LOW,WEALTH_CREATION,100.0,HIGH
53,39000.0,22400.0,7400.0,1029000,324000.0,9200,6,3,2,MONTHLY,MEDIUM,RETIREMENT,69.0,HIGH
39,55000.0,33900.0,7000.0,1140000,53000.0,14100,4,5,5,MONTHLY,MEDIUM,RETIREMENT,100.0,HIGH
22,28000.0,17500.0,9000.0,338000,143000.0,1500,9,2,2,LUMP_SUM,LOW,WEALTH_CREATION,60.0,HIGH
45,158000.0,68300.0,76500.0,592000,24000.0,13200,15,5,5,LUMP_SUM,HIGH,RETIREMENT,91.0,HIGH
31,124000.0,66800.0,45700.0,2589000,1031000.0,11500,12,2,4,RARELY,LOW,SHORT_TERM_GOAL,70.0,HIGH
64,67000.0,32300.0,9100.0,316000,179000.0,25600,3,4,2,RARELY,MEDIUM,WEALTH_CREATION,71.0,MEDIUM
56,37000.0,20900.0,6800.0,612000,253000.0,9300,2,5,4,MONTHLY,LOW,TAX_SAVING,100.0,HIGH
61,74000.0,43800.0,23400.0,704000,72000.0,6800,2,4,2,RARELY,MEDIUM,RETIREMENT,66.0,MEDIUM
27,48000.0,29100.0,15700.0,272000,24000.0,3200,14,2,3,QUARTERLY,MEDIUM,WEALTH_CREATION,71.0,HIGH
36,43000.0,23900.0,18100.0,359000,174000.0,1000,3,2,1,QUARTERLY,HIGH,WEALTH_CREATION,56.0,HIGH
28,72000.0,54200.0,0.0,2575000,434000.0,23600,5,2,3,RARELY,MEDIUM,RETIREMENT,66.0,HIGH
57,23000.0,13900.0,6600.0,239000,105000.0,2500,10,1,3,QUARTERLY,HIGH,WEALTH_CREATION,48.0,HIGH
65,53000.0,29600.0,10500.0,150000,14000.0,12900,5,1,5,MONTHLY,MEDIUM,EMERGENCY_FUND,65.0,LOW
