age,monthly_income,monthly_expenses,monthly_surplus,savings,existing_investments,monthly_emi,investment_horizon,investment_experience,reaction_to_market_loss,investment_frequency,liquidity_preference,investment_goal,risk_questionnaire_score,risk_profile,savings_ratio,expense_ratio,emi_to_income_ratio,investment_to_income_ratio
61,50000.0,41500.0,0.0,982000,405000.0,14300,17,3,1,MONTHLY,MEDIUM,WEALTH_CREATION,70.0,HIGH,1.6366666666666667,0.83,0.286,0.675
45,109000.0,59500.0,15800.0,1865000,145000.0,33700,5,1,2,MONTHLY,MEDIUM,TAX_SAVING,47.0,HIGH,1.4258409785932722,0.5458715596330275,0.3091743119266055,0.11085626911314984
34,113000.0,67200.0,8400.0,939000,422000.0,37400,1,4,4,MONTHLY,LOW,SHORT_TERM_GOAL,94.0,MEDIUM,0.6924778761061947,0.5946902654867257,0.3309734513274336,0.3112094395280236
34,84000.0,43300.0,31300.0,976000,357000.0,9400,14,2,1,MONTHLY,HIGH,RETIREMENT,63.0,HIGH,0.9682539682539683,0.5154761904761904,0.11190476190476191,0.3541666666666667
21,80000.0,65500.0,0.0,67000,20000.0,32600,2,3,4,QUARTERLY,MEDIUM,RETIREMENT,77.0,MEDIUM,0.06979166666666667,0.81875,0.4075,0.020833333333333332
54,177000.0,40100.0,96900.0,1675000,58000.0,40000,9,1,3,RARELY,LOW,RETIREMENT,37.0,LOW,0.7886064030131826,0.22655367231638418,0.22598870056497175,0.027306967984934087
55,143000.0,83300.0,34100.0,918000,18000.0,25600,12,1,1,MONTHLY,MEDIUM,RETIREMENT,37.0,MEDIUM,0.534965034965035,0.5825174825174825,0.17902097902097902,0.01048951048951049
55,75000.0,60100.0,0.0,1254000,250000.0,34600,2,2,2,RARELY,LOW,WEALTH_CREATION,48.0,MEDIUM,1.3933333333333333,0.8013333333333333,0.4613333333333333,0.2777777777777778
38,49000.0,43000.0,0.0,672000,409000.0,10600,14,1,3,LUMP_SUM,HIGH,TAX_SAVING,54.0,HIGH,1.1428571428571428,0.8775510204081632,0.2163265306122449,0.6955782312925171
34,66000.0,48400.0,14300.0,320000,16000.0,3300,4,1,5,MONTHLY,MEDIUM,TAX_SAVING,63.0,HIGH,0.40404040404040403,0.7333333333333333,0.05,0.020202020202020204
54,52000.0,28700.0,17900.0,2118000,25000.0,5400,9,2,1,MONTHLY,LOW,WEALTH_CREATION,54.0,HIGH,3.394230769230769,0.551923076923077,0.10384615384615385,0.04006410256410257
55,108000.0,85000.0,21300.0,442000,115000.0,1700,3,3,2,QUARTERLY,HIGH,EMERGENCY_FUND,65.0,LOW,0.3410493827160494,0.7870370370370371,0.01574074074074074,0.08873456790123457
38,34000.0,31200.0,500.0,167000,113000.0,2300,9,2,1,MONTHLY,HIGH,SHORT_TERM_GOAL,64.0,MEDIUM,0.40931372549019607,0.9176470588235294,0.06764705882352941,0.2769607843137255
64,50000.0,32800.0,0.0,318000,138000.0,19200,1,3,2,RARELY,HIGH,SHORT_TERM_GOAL,52.0,LOW,0.53,0.656,0.384,0.23
65,102000.0,70600.0,13300.0,629000,410000.0,18100,6,5,3,RARELY,LOW,SHORT_TERM_GOAL,78.0,HIGH,0.5138888888888888,0.692156862745098,0.17745098039215687,0.3349673202614379
37,33000.0,30300.0,0.0,527000,327000.0,9100,20,4,3,LUMP_SUM,LOW,SHORT_TERM_GOAL,72.0,HIGH,1.3308080808080809,0.9181818181818182,0.27575757575757576,0.8257575757575758
41,58000.0,42700.0,7100.0,1108000,265000.0,8200,14,1,1,QUARTERLY,MEDIUM,WEALTH_CREATION,49.0,HIGH,1.5919540229885059,0.7362068965517241,0.1413793103448276,0.3807471264367816
64,26000.0,9800.0,10200.0,404000,67000.0,6000,16,4,4,MONTHLY,HIGH,TAX_SAVING,71.0,HIGH,1.294871794871795,0.3769230769230769,0.23076923076923078,0.21474358974358973
28,53000.0,20300.0,24600.0,728000,242000.0,8100,14,2,3,MONTHLY,LOW,WEALTH_CREATION,51.0,HIGH,1.1446540880503144,0.38301886792452833,0.15283018867924528,0.3805031446540881
55,58000.0,44000.0,7000.0,180000,19000.0,7000,8,5,2,MONTHLY,HIGH,EMERGENCY_FUND,62.0,LOW,0.25862068965517243,0.7586206896551724,0.1206896551724138,0.027298850574712645
59,137000.0,81300.0,39700.0,3690000,1240000.0,16000,5,2,2,RARELY,MEDIUM,SHORT_TERM_GOAL,60.0,HIGH,2.2445255474452557,0.5934306569343065,0.11678832116788321,0.754257907542579
51,126000.0,96200.0,0.0,2579000,1390000.0,49500,13,1,4,RARELY,LOW,WEALTH_CREATION,57.0,HIGH,1.7056878306878307,0.7634920634920634,0.39285714285714285,0.9193121693121693
45,46000.0,38500.0,0.0,916000,199000.0,9200,5,4,4,MONTHLY,HIGH,TAX_SAVING,89.0,HIGH,1.6594202898550725,0.8369565217391305,0.2,0.3605072463768116
48,34000.0,13500.0,15100.0,269000,111000.0,5400,4,2,4,QUARTERLY,MEDIUM,WEALTH_CREATION,64.0,HIGH,0.6593137254901961,0.39705882352941174,0.1588235294117647,0.27205882352941174
52,20000.0,8800.0,200.0,84000,17000.0,11000,8,3,1,MONTHLY,MEDIUM,WEALTH_CREATION,77.0,LOW,0.35,0.44,0.55,0.07083333333333333
54,71000.0,37700.0,16100.0,555000,86000.0,17200,14,2,5,RARELY,MEDIUM,RETIREMENT,66.0,HIGH,0.6514084507042254,0.5309859154929577,0.24225352112676057,0.10093896713615023
29,78000.0,65900.0,0.0,1088000,48000.0,14600,6,1,3,MONTHLY,LOW,TAX_SAVING,79.0,HIGH,1.1623931623931625,0.8448717948717949,0.18717948717948718,0.05128205128205128
28,72000.0,66200.0,0.0,1490000,328000.0,13500,4,1,2,QUARTERLY,LOW,RETIREMENT,53.0,HIGH,1.724537037037037,0.9194444444444444,0.1875,0.37962962962962965
23,27000.0,15300.0,5700.0,471000,88000.0,6000,15,1,1,MONTHLY,HIGH,TAX_SAVING,28.0,HIGH,1.4537037037037037,0.5666666666666667,0.2222222222222222,0.2716049382716049
65,48000.0,33600.0,8200.0,1898000,136000.0,6200,1,3,4,QUARTERLY,HIGH,WEALTH_CREATION,62.0,HIGH,3.295138888888889,0.7,0.12916666666666668,0.2361111111111111
38,32000.0,15800.0,14000.0,431000,152000.0,2200,22,2,3,RARELY,MEDIUM,RETIREMENT,49.0,HIGH,1.1223958333333333,0.49375,0.06875,0.3958333333333333
44,83000.0,55800.0,8400.0,703000,154000.0,18800,12,1,1,MONTHLY,LOW,EMERGENCY_FUND,69.0,HIGH,0.7058232931726908,0.672289156626506,0.22650602409638554,0.15461847389558234
62,123000.0,71300.0,37400.0,3870000,658000.0,14300,8,4,2,MONTHLY,MEDIUM,SHORT_TERM_GOAL,66.0,HIGH,2.6219512195121952,0.5796747967479675,0.11626016260162601,0.44579945799457993
55,64000.0,40000.0,11000.0,630000,140000.0,13000,6,5,4,LUMP_SUM,LOW,SHORT_TERM_GOAL,100.0,HIGH,0.8203125,0.625,0.203125,0.18229166666666666
42,58000.0,21600.0,22100.0,859000,332000.0,14300,5,3,4,RARELY,LOW,WEALTH_CREATION,82.0,HIGH,1.2341954022988506,0.3724137931034483,0.24655172413793103,0.47701149425287354
35,99000.0,35100.0,60300.0,929000,50000.0,3600,2,2,3,LUMP_SUM,LOW,WEALTH_CREATION,78.0,HIGH,0.781986531986532,0.35454545454545455,0.03636363636363636,0.04208754208754209
36,65000.0,41900.0,15800.0,463000,27000.0,7300,25,4,1,MONTHLY,MEDIUM,WEALTH_CREATION,82.0,HIGH,0.5935897435897436,0.6446153846153846,0.1123076923076923,0.03461538461538462
63,59000.0,34600.0,2200.0,2931000,572000.0,22200,4,3,4,LUMP_SUM,LOW,WEALTH_CREATION,83.0,HIGH,4.139830508474576,0.5864406779661017,0.376271186440678,0.807909604519774
49,33000.0,28300.0,0.0,536000,20000.0,6400,5,4,4,MONTHLY,LOW,EMERGENCY_FUND,100.0,HIGH,1.3535353535353536,0.8575757575757575,0.19393939393939394,0.050505050505050504
64,104000.0,89100.0,0.0,2010000,115000.0,19400,20,1,3,MONTHLY,HIGH,WEALTH_CREATION,39.0,HIGH,1.6105769230769231,0.8567307692307692,0.18653846153846154,0.0921474358974359
65,136000.0,83700.0,28700.0,1239000,81000.0,23600,6,2,1,MONTHLY,HIGH,RETIREMENT,40.0,MEDIUM,0.7591911764705882,0.6154411764705883,0.17352941176470588,0.04963235294117647
59,93000.0,39400.0,17900.0,606000,341000.0,35700,23,2,4,MONTHLY,HIGH,WEALTH_CREATION,57.0,HIGH,0.543010752688172,0.4236559139784946,0.38387096774193546,0.3055555555555556
58,54000.0,46900.0,0.0,930000,492000.0,11800,17,2,3,RARELY,LOW,RETIREMENT,68.0,HIGH,1.4351851851851851,0.8685185185185185,0.21851851851851853,0.7592592592592593
52,94000.0,71500.0,15900.0,1965000,626000.0,6600,14,1,3,RARELY,MEDIUM,SHORT_TERM_GOAL,31.0,HIGH,1.7420212765957446,0.7606382978723404,0.07021276595744681,0.5549645390070922
47,50000.0,27900.0,12200.0,173000,81000.0,9900,5,1,2,LUMP_SUM,HIGH,SHORT_TERM_GOAL,42.0,LOW,0.28833333333333333,0.558,0.198,0.135
59,54000.0,11100.0,31600.0,246000,28000.0,11300,9,3,3,LUMP_SUM,MEDIUM,TAX_SAVING,63.0,HIGH,0.37962962962962965,0.20555555555555555,0.20925925925925926,0.043209876543209874
22,23000.0,13000.0,9800.0,76000,3000.0,200,5,2,4,LUMP_SUM,MEDIUM,WEALTH_CREATION,77.0,HIGH,0.2753623188405797,0.5652173913043478,0.008695652173913044,0.010869565217391304
60,60000.0,39000.0,1500.0,636000,233000.0,19500,3,5,1,MONTHLY,HIGH,EMERGENCY_FUND,70.0,LOW,0.8833333333333333,0.65,0.325,0.3236111111111111
28,40000.0,22600.0,0.0,2605000,630000.0,22000,2,1,2,RARELY,MEDIUM,EMERGENCY_FUND,31.0,HIGH,5.427083333333333,0.565,0.55,1.3125
