age,monthly_income,monthly_expenses,monthly_surplus,savings,existing_investments,monthly_emi,investment_horizon,investment_experience,reaction_to_market_loss,investment_frequency,liquidity_preference,investment_goal,risk_questionnaire_score,risk_profile
61,50000,41500,,982000,405000,14300,17,3,1,MONTHLY,MEDIUM,WEALTH_CREATION,70,HIGH
45,109000,59500,15800,1865000,,33700,5,1,2,MONTHLY,MEDIUM,TAX_SAVING,47,HIGH
34,113000,67200,8400,939000,422000,37400,1,4,4,MONTHLY,LOW,SHORT_TERM_GOAL,94,MEDIUM
34,84000,43300,31300,976000,357000,9400,14,2,1,MONTHLY,HIGH,RETIREMENT,,HIGH
21,80000,65500,0,67000,20000,32600,2,3,4,QUARTERLY,,RETIREMENT,77,MEDIUM
54,177000,,0,1675000,58000,40000,9,1,3,RARELY,LOW,RETIREMENT,37,LOW
55,143000,83300,34100,918000,18000,25600,12,1,1,,MEDIUM,RETIREMENT,37,MEDIUM
55,75000,60100,0,1254000,250000,34600,2,2,2,RARELY,LOW,WEALTH_CREATION,48,MEDIUM
38,49000,43000,0,672000,409000,10600,14,1,3,LUMP_SUM,HIGH,TAX_SAVING,54,HIGH
34,,48400,25300,320000,16000,3300,4,1,5,MONTHLY,MEDIUM,TAX_SAVING,63,HIGH
54,52000,28700,17900,2118000,25000,5400,9,2,1,MONTHLY,LOW,,54,HIGH
55,108000,85000,21300,442000,115000,1700,3,3,2,QUARTERLY,HIGH,EMERGENCY_FUND,65,LOW
38,34000,31200,500,167000,113000,2300,9,2,1,MONTHLY,HIGH,SHORT_TERM_GOAL,64,MEDIUM
64,50000,32800,0,318000,138000,19200,1,3,2,RARELY,HIGH,SHORT_TERM_GOAL,52,LOW
65,102000,70600,13300,629000,410000,18100,6,5,3,RARELY,LOW,SHORT_TERM_GOAL,78,HIGH
37,33000,30300,0,527000,327000,9100,20,4,3,LUMP_SUM,LOW,SHORT_TERM_GOAL,72,HIGH
41,58000,42700,7100,1108000,265000,8200,14,1,1,QUARTERLY,MEDIUM,WEALTH_CREATION,49,HIGH
64,26000,9800,10200,404000,67000,6000,16,4,4,MONTHLY,HIGH,TAX_SAVING,71,HIGH
28,53000,20300,24600,728000,242000,8100,14,2,3,MONTHLY,LOW,WEALTH_CREATION,51,HIGH
55,58000,44000,7000,180000,19000,7000,8,5,2,MONTHLY,HIGH,EMERGENCY_FUND,62,LOW
59,137000,81300,39700,3690000,1240000,16000,5,2,2,RARELY,MEDIUM,SHORT_TERM_GOAL,60,HIGH
51,126000,96200,0,2579000,1390000,49500,13,1,4,RARELY,LOW,WEALTH_CREATION,57,HIGH
45,46000,38500,0,916000,199000,9200,5,4,4,MONTHLY,HIGH,TAX_SAVING,89,HIGH
48,34000,13500,15100,269000,111000,5400,4,2,4,QUARTERLY,MEDIUM,WEALTH_CREATION,64,HIGH
52,20000,8800,200,84000,17000,11000,8,3,1,MONTHLY,MEDIUM,WEALTH_CREATION,77,LOW
54,71000,37700,16100,555000,86000,17200,14,2,5,RARELY,MEDIUM,RETIREMENT,66,HIGH
29,78000,65900,0,1088000,48000,14600,6,1,3,MONTHLY,LOW,TAX_SAVING,79,HIGH
28,72000,66200,0,1490000,328000,13500,4,1,2,QUARTERLY,LOW,RETIREMENT,53,HIGH
23,27000,15300,5700,471000,88000,6000,15,1,1,MONTHLY,HIGH,TAX_SAVING,28,HIGH
65,48000,33600,8200,1898000,136000,6200,1,3,4,QUARTERLY,HIGH,WEALTH_CREATION,62,HIGH
38,32000,15800,14000,431000,152000,2200,22,2,3,RARELY,MEDIUM,RETIREMENT,49,HIGH
44,83000,55800,8400,703000,154000,18800,12,1,1,MONTHLY,LOW,EMERGENCY_FUND,69,HIGH
62,123000,71300,37400,3870000,658000,14300,8,4,2,MONTHLY,MEDIUM,SHORT_TERM_GOAL,66,HIGH
55,64000,40000,11000,630000,140000,13000,6,5,4,LUMP_SUM,LOW,SHORT_TERM_GOAL,100,HIGH
42,58000,21600,22100,859000,332000,14300,5,3,4,RARELY,LOW,WEALTH_CREATION,82,HIGH
35,99000,35100,60300,929000,50000,3600,2,2,3,LUMP_SUM,LOW,WEALTH_CREATION,78,HIGH
36,65000,41900,15800,463000,27000,7300,25,4,1,MONTHLY,MEDIUM,WEALTH_CREATION,82,HIGH
63,59000,34600,2200,2931000,572000,22200,4,3,4,LUMP_SUM,LOW,WEALTH_CREATION,83,HIGH
49,33000,28300,0,536000,20000,6400,5,4,4,MONTHLY,LOW,EMERGENCY_FUND,100,HIGH
64,104000,89100,0,2010000,115000,19400,20,1,3,MONTHLY,HIGH,WEALTH_CREATION,39,HIGH
65,136000,83700,28700,1239000,81000,23600,6,2,1,MONTHLY,HIGH,RETIREMENT,40,MEDIUM
59,93000,39400,17900,606000,341000,35700,23,2,4,MONTHLY,HIGH,WEALTH_CREATION,57,HIGH
58,54000,46900,0,930000,492000,11800,17,2,3,RARELY,LOW,RETIREMENT,68,HIGH
52,94000,71500,15900,1965000,626000,6600,14,1,3,RARELY,MEDIUM,SHORT_TERM_GOAL,31,HIGH
47,50000,27900,12200,173000,81000,9900,5,1,2,LUMP_SUM,HIGH,SHORT_TERM_GOAL,42,LOW
59,54000,11100,31600,246000,28000,11300,9,3,3,LUMP_SUM,MEDIUM,TAX_SAVING,63,HIGH
22,23000,13000,9800,76000,3000,200,5,2,4,LUMP_SUM,MEDIUM,WEALTH_CREATION,77,HIGH
60,60000,39000,1500,636000,233000,19500,3,5,1,MONTHLY,HIGH,EMERGENCY_FUND,70,LOW
28,40000,22600,0,2605000,630000,22000,2,1,2,RARELY,MEDIUM,EMERGENCY_FUND,31,HIGH
27,36000,21100,5800,319000,84000,9100,5,3,4,RARELY,LOW,WEALTH_CREATION,82,HIGH
62,82000,34900,25900,578000,102000,21200,14,2,2,MONTHLY,MEDIUM,WEALTH_CREATION,56,HIGH
62,82000,58700,11900,967000,353000,11400,1,1,5,MONTHLY,HIGH,RETIREMENT,69,HIGH
49,77000,58300,0,1067000,411000,42300,21,2,1,MONTHLY,MEDIUM,SHORT_TERM_GOAL,49,MEDIUM
63,51000,42600,2800,1747000,579000,5600,6,2,1,MONTHLY,HIGH,RETIREMENT,46,HIGH
25,26000,10900,7600,367000,27000,7500,18,3,1,MONTHLY,HIGH,SHORT_TERM_GOAL,53,MEDIUM
49,47000,21000,11800,1070000,342000,14200,17,1,3,MONTHLY,HIGH,EMERGENCY_FUND,47,HIGH
26,93000,64600,6400,952000,63000,22000,6,1,5,RARELY,MEDIUM,EMERGENCY_FUND,60,MEDIUM
51,82000,59000,0,1532000,536000,30500,1,2,4,MONTHLY,LOW,SHORT_TERM_GOAL,80,HIGH
