feature,importance
numeric__savings_ratio,0.13754860873700034
numeric__risk_questionnaire_score,0.1123366045130154
numeric__investment_to_income_ratio,0.07954000960072798
numeric__investment_horizon,0.07836157256881714
numeric__emi_to_income_ratio,0.07233702820588335
numeric__savings,0.06707470276054854
numeric__monthly_emi,0.05776621212492148
numeric__existing_investments,0.05160960105471618
numeric__monthly_surplus,0.04926344143122475
numeric__expense_ratio,0.04300736377071754
numeric__monthly_expenses,0.03422983319290048
numeric__monthly_income,0.029250410117095258
numeric__age,0.027796236217600846
numeric__reaction_to_market_loss,0.024978917704042432
categorical__investment_goal_EMERGENCY_FUND,0.023478788094032848
categorical__investment_goal_WEALTH_CREATION,0.021813809563776765
numeric__investment_experience,0.018999853365873915
categorical__liquidity_preference_HIGH,0.012880460406141991
categorical__investment_goal_SHORT_TERM_GOAL,0.01101741558072334
categorical__investment_frequency_MONTHLY,0.009036987622233723
categorical__liquidity_preference_LOW,0.008969248808579786
categorical__investment_frequency_RARELY,0.008109751211849566
categorical__investment_goal_RETIREMENT,0.007325204311022167
categorical__liquidity_preference_MEDIUM,0.005623951540097716
categorical__investment_frequency_LUMP_SUM,0.003022746229780689
categorical__investment_goal_TAX_SAVING,0.0025503820356577436
categorical__investment_frequency_QUARTERLY,0.0020708592310181287
